18/06/2026;79;104,07;105,35;2,884;163,455;;;;;;;;;;
19/06/2026;80;105,35;106,63;2,916;166,371;;;;;;;;;;
20/06/2026;81;106,63;107,91;2,949;169,320;;;;;;;;;;
21/06/2026;82;107,91;109,20;2,982;172,303;;;;;;;;;;
22/06/2026;83;109,20;110,49;3,015;175,318;;;;;;;;;;
23/06/2026;84;110,49;111,77;3,048;178,366;;;;;;;;;;
24/06/2026;85;111,77;113,03;3,080;181,446;;;;;;;;;;
25/06/2026;86;113,03;114,28;3,111;184,557;;;;;;;;;;
26/06/2026;87;114,28;115,52;3,115;187,672;;;;;;;;;;
27/06/2026;88;115,52;116,73;3,119;190,791;;;;;;;;;;
28/06/2026;89;116,73;117,93;3,123;193,914;;;;;;;;;;
29/06/2026;90;117,93;119,11;3,127;197,041;;;;;;;;;;
30/06/2026;91;119,11;120,24;3,132;200,173;;;;;;;;;;
01/07/2026;92;120,24;121,35;3,153;203,325;;;;;;;;;;
02/07/2026;93;121,35;122,45;3,172;206,497;;;;;;;;;;
03/07/2026;94;122,45;123,52;3,189;209,687;;;;;;;;;;
04/07/2026;95;123,52;124,57;3,200;212,887;;;;;;;;;;
05/07/2026;96;124,57;125,60;3,200;216,087;;;;;;;;;;
06/07/2026;97;125,60;126,61;3,200;219,287;;;;;;;;;;
07/07/2026;98;126,61;127,60;3,200;222,487;;;;;;;;;;
08/07/2026;99;127,60;128,57;3,200;225,687;;;;;;;;;;
09/07/2026;100;128,57;129,52;3,200;228,887;;;;;;;;;;
10/07/2026;101;129,52;130,46;3,200;232,087;;;;;;;;;;
11/07/2026;102;130,46;131,38;3,200;235,287;;;;;;;;;;
12/07/2026;103;131,38;132,29;3,200;238,487;;;;;;;;;;
13/07/2026;104;132,29;133,19;3,200;241,687;;;;;;;;;;
14/07/2026;105;133,19;134,08;3,200;244,887;;;;;;;;;;
15/07/2026;106;134,08;134,95;3,200;248,087;;;;;;;;;;
16/07/2026;107;134,95;135,80;3,200;251,287;;;;;;;;;;
17/07/2026;108;135,80;136,65;3,200;254,487;;;;;;;;;;
18/07/2026;109;136,65;137,48;3,200;257,687;;;;;;;;;;
19/07/2026;110;137,48;138,30;3,200;260,887;;;;;;;;;;
20/07/2026;111;138,30;139,10;3,200;264,087;;;;;;;;;;
21/07/2026;112;139,10;139,89;3,200;267,287;;;;;;;;;;
